altitude,geo_altitude,height,horizontal_accuracy,location.lat,location.lon,pressure,speed_accuracy,time,velocity.x,velocity.y,velocity.z,vertical_accuracy
23.26,9.94847264182614,0.89,92.6,1.2799367904663086,103.85421752929688,1010.4587666715618,,2025-07-26T06:03:48.300000Z,5.4,2.6,1.6,45.0
23.26,9.780631084256484,0.89,92.6,1.279949426651001,103.85423278808594,1010.4587666715618,,2025-07-26T06:03:48.500000Z,5.6000000000000005,2.8000000000000003,1.4000000000000001,45.0
23.26,9.444947969117177,0.89,92.6,1.2799608707427979,103.854248046875,1010.4587666715618,,2025-07-26T06:03:48.800000Z,5.800000000000001,3.0,1.4000000000000001,45.0
23.26,9.109264853977868,0.89,92.6,1.2799699306488037,103.85425567626953,1010.4587666715618,,2025-07-26T06:03:49Z,5.800000000000001,3.2,1.4000000000000001,45.0
23.26,8.605740181268905,0.89,92.6,1.2799781560897827,103.8542709350586,1010.4587666715618,,2025-07-26T06:03:49.300000Z,5.800000000000001,3.2,1.4000000000000001,45.0
23.26,9.277106411547521,0.89,92.6,1.280042052268982,103.8543472290039,1010.4587666715618,,2025-07-26T06:03:49.500000Z,5.800000000000001,3.4000000000000004,1.4000000000000001,45.0
23.26,9.444947969117177,0.89,92.6,1.2800493240356445,103.85436248779297,1010.4587666715618,,2025-07-26T06:03:49.800000Z,5.800000000000001,3.4000000000000004,1.4000000000000001,45.0
23.26,9.444947969117177,0.89,92.6,1.2800556421279907,103.85437774658203,1010.4587666715618,,2025-07-26T06:03:50Z,5.800000000000001,3.2,1.4000000000000001,45.0
23.26,9.780631084256484,0.89,92.6,1.28005850315094,103.8543930053711,1010.4587666715618,,2025-07-26T06:03:50.300000Z,5.800000000000001,3.0,1.4000000000000001,45.0
23.26,9.94847264182614,0.89,92.6,1.2800601720809937,103.85440826416016,1010.4587666715618,,2025-07-26T06:03:50.500000Z,6.0,2.8000000000000003,1.2000000000000002,45.0
23.26,9.780631084256484,0.89,92.6,1.2800596952438354,103.85442352294922,1010.4587666715618,,2025-07-26T06:03:50.800000Z,6.2,2.4000000000000004,1.2000000000000002,45.0
23.26,9.444947969117177,0.89,92.6,1.2800571918487549,103.85443878173828,1010.4587666715618,,2025-07-26T06:03:51Z,6.4,2.0,1.2000000000000002,45.0
23.26,8.941423296408214,0.89,92.6,1.2800577878952026,103.85445404052734,1010.4587666715618,,2025-07-26T06:03:51.300000Z,6.4,1.6,1.4000000000000001,45.0
23.26,8.605740181268905,0.89,92.6,1.2800582647323608,103.85446166992188,1010.4587666715618,,2025-07-26T06:03:51.500000Z,6.4,1.2000000000000002,1.4000000000000001,45.0
23.26,8.102215508559942,0.89,92.6,1.280051350593567,103.85448455810547,1010.4587666715618,,2025-07-26T06:03:51.800000Z,6.4,0.8,1.4000000000000001,45.0
23.26,7.766532393420634,0.89,92.6,1.2800432443618774,103.8544921875,1010.4587666715618,,2025-07-26T06:03:52Z,6.4,0.4,1.4000000000000001,45.0
23.26,7.430849278281325,0.89,92.6,1.2800346612930298,103.8545150756836,1010.4587666715618,,2025-07-26T06:03:52.300000Z,6.6000000000000005,0.0,1.4000000000000001,45.0
23.26,1.2207116482041185,0.89,92.6,1.2801074981689453,103.85462951660156,1010.4587666715618,,2025-07-26T06:03:52.500000Z,6.800000000000001,0.0,1.6,45.0
23.26,1.0528700906344644,0.89,92.6,1.2801072597503662,103.85465240478516,1010.4587666715618,,2025-07-26T06:03:52.800000Z,7.0,0.0,1.8,45.0
23.38,-0.4577039274924239,1.01,92.6,1.2801072597503662,103.85469818115234,1010.4454160714523,,2025-07-26T06:03:53.500000Z,7.2,0.0,1.8,45.0
23.38,-0.9612286002013867,1.01,92.6,1.2801072597503662,103.8547134399414,1010.4454160714523,,2025-07-26T06:03:53.800000Z,7.2,0.0,1.8,45.0
23.26,-1.296911715340695,0.89,92.6,1.2801072597503662,103.854736328125,1010.4587666715618,,2025-07-26T06:03:54Z,7.2,0.0,1.8,45.0
23.26,-1.8004363880496579,0.89,92.6,1.2801072597503662,103.85474395751953,1010.4587666715618,,2025-07-26T06:03:54.300000Z,7.2,0.0,1.8,45.0
